,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,Bayes Classification
25,56, Local-gov,216851, Higher ed,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1,1
26,19, Private,168294, HS,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0,0
27,54, ?,180211, Higher ed,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South,1,0
28,39, Private,367260, HS,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,0,0
29,49, Private,193366, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,0
30,23, Local-gov,190709, Higher ed,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,0,0
31,20, Private,266015, Higher ed,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,0,0
32,45, Private,386940, Higher ed,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States,0,1
33,30, Federal-gov,59951, Higher ed,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0,0
34,22, State-gov,311512, Higher ed,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,0,0
35,48, Private,242406, HS,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,0,0
36,21, Private,197200, Higher ed,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0,0
37,19, Private,544091, HS,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,0,0
38,31, Private,84154, Higher ed,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,1,0
39,48, Self-emp-not-inc,265477, Higher ed,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,1
40,31, Private,507875, HS,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,0,0
41,53, Self-emp-not-inc,88506, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,1
42,24, Private,172987, Higher ed,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0,0
43,49, Private,94638, HS,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0,0
44,25, Private,289980, HS,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,0,0
45,57, Federal-gov,337895, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,1,1
46,53, Private,144361, HS,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,0,0
47,44, Private,128354, Higher ed,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0,0
48,41, State-gov,101603, Higher ed,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,0
49,29, Private,271466, Higher ed,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0,0
50,25, Private,32275, Higher ed,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,0,0
51,18, Private,226956, HS,9, Never-married, Other-service, Own-child, White, Female,0,0,30, ?,0,0
52,47, Private,51835, Higher ed,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,1,1
53,50, Federal-gov,251585, Higher ed,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,1,0
54,47, Self-emp-inc,109832, HS,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0,0
55,43, Private,237993, Higher ed,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1,0
56,46, Private,216666, HS,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,0,0
57,35, Private,56352, Higher ed,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,0,0
58,41, Private,147372, HS,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,0,0
59,30, Private,188146, HS,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,0,1
60,30, Private,59496, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,0,1
61,32, ?,293936, HS,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?,0,0
62,48, Private,149640, HS,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0,0
63,42, Private,116632, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1,1
64,29, Private,105598, Higher ed,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,0,0
65,36, Private,155537, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,0
66,28, Private,183175, Higher ed,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,0
67,53, Private,169846, HS,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1,0
68,49, Self-emp-inc,191681, Higher ed,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1,1
69,25, ?,200681, Higher ed,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0,0
70,19, Private,101509, Higher ed,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,0,0
71,31, Private,309974, Higher ed,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,0,0
72,29, Self-emp-not-inc,162298, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,1,0
73,23, Private,211678, Higher ed,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0,0
74,79, Private,124744, Higher ed,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,0,0
75,27, Private,213921, HS,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,0,0
76,40, Private,32214, Higher ed,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0,0
77,67, ?,212759, HS,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States,0,0
78,18, Private,309634, HS,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,0,0
79,31, Local-gov,125927, HS,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0,0
80,18, Private,446839, HS,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,0,0
81,52, Private,276515, Higher ed,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,0,0
82,46, Private,51618, HS,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,0,0
83,59, Private,159937, HS,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,0,0
84,44, Private,343591, HS,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,1,1
85,53, Private,346253, HS,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,0,0
86,49, Local-gov,268234, HS,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1,0
87,33, Private,202051, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0,1
88,30, Private,54334, HS,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0,0
89,43, Federal-gov,410867, Higher ed,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,1,0
90,57, Private,249977, Higher ed,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,0
91,37, Private,286730, Higher ed,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,0,0
92,28, Private,212563, Higher ed,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,0,0
93,30, Private,117747, HS,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35, ?,0,1
94,34, Local-gov,226296, Higher ed,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1,0
95,29, Local-gov,115585, Higher ed,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,0,0
96,48, Self-emp-not-inc,191277, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,1,1
97,37, Private,202683, Higher ed,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,1,0
98,48, Private,171095, Higher ed,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,0,0
99,32, Federal-gov,249409, HS,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,0,0
100,76, Private,124191, Higher ed,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,0
101,44, Private,198282, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,1,1
102,47, Self-emp-not-inc,149116, Higher ed,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,0,0
103,20, Private,188300, Higher ed,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0,0
104,29, Private,103432, HS,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,0
105,32, Self-emp-inc,317660, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,1,1
106,17, ?,304873, HS,6, Never-married, ?, Own-child, White, Female,34095,0,32, United-States,0,1
107,30, Private,194901, HS,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0,0
108,31, Local-gov,189265, HS,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,0
109,42, Private,124692, HS,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0,0
110,24, Private,432376, Higher ed,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0,0
111,38, Private,65324, Higher ed,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1,1
112,56, Self-emp-not-inc,335605, HS,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada,1,1
113,28, Private,377869, Higher ed,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,0,1
114,36, Private,102864, HS,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0,0
115,53, Private,95647, HS,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,0,0
116,56, Self-emp-inc,303090, Higher ed,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0,1
117,49, Local-gov,197371, Higher ed,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1,0
118,55, Private,247552, Higher ed,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,0,0
119,22, Private,102632, HS,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,0,0
120,21, Private,199915, Higher ed,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0,0
121,40, Private,118853, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0,1
122,30, Private,77143, Higher ed,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,0,0
123,29, State-gov,267989, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1,0
124,19, Private,301606, Higher ed,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,0,0
125,47, Private,287828, Higher ed,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1,0
126,20, Private,111697, Higher ed,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States,0,0
127,31, Private,114937, Higher ed,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1,0
128,35, ?,129305, HS,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,0,0
129,39, Private,365739, Higher ed,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,0
130,28, Private,69621, Higher ed,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,0,0
131,24, Private,43323, HS,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,0,0
132,38, Self-emp-not-inc,120985, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States,0,1
133,37, Private,254202, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0,0
134,46, Private,146195, Higher ed,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,0,0
135,38, Federal-gov,125933, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,1,1
136,43, Self-emp-not-inc,56920, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0,0
137,27, Private,163127, Higher ed,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,0,0
138,20, Private,34310, Higher ed,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0,0
139,49, Private,81973, Higher ed,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1,0
140,61, Self-emp-inc,66614, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,0
141,27, Private,232782, Higher ed,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0,0
142,19, Private,316868, Higher ed,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,0,0
143,45, Private,196584, Higher ed,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States,1,1
144,70, Private,105376, Higher ed,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,0,0
145,31, Private,185814, HS,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,0,0
146,22, Private,175374, Higher ed,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,0,0
147,36, Private,108293, HS,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,0,0
148,64, Private,181232, HS,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States,0,1
149,43, ?,174662, Higher ed,10, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,0,0
150,47, Local-gov,186009, Higher ed,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,0,0
151,34, Private,198183, HS,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,0
152,33, Private,163003, Higher ed,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0,0
153,21, Private,296158, HS,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,0,0
154,52, ?,252903, HS,9, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States,1,0
155,48, Private,187715, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,0,0
156,23, Private,214542, Higher ed,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0,0
157,71, Self-emp-not-inc,494223, Higher ed,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States,0,1
158,29, Private,191535, HS,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0,0
159,42, Private,228456, Higher ed,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,0,0
160,68, ?,38317, HS,2, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States,0,0
161,25, Private,252752, HS,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,0,0
162,44, Self-emp-inc,78374, Higher ed,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0,0
163,28, Private,88419, HS,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,0,0
164,45, Self-emp-not-inc,201080, Higher ed,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1,1
165,36, Private,207157, Higher ed,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,0,0
166,39, Federal-gov,235485, Higher ed,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,0,0
167,46, State-gov,102628, Higher ed,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,0,0
168,18, Private,25828, HS,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,0,0
169,66, Local-gov,54826, Higher ed,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,0,0
170,27, Private,124953, HS,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,0,1
171,28, State-gov,175325, HS,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0,0
172,51, Private,96062, Higher ed,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States,1,1
173,27, Private,428030, Higher ed,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,0,0
174,28, State-gov,149624, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1,0
175,27, Private,253814, HS,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,0,0
176,21, Private,312956, HS,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,0,0
177,34, Private,483777, HS,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0,0
178,18, Private,183930, HS,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,0,0
179,33, Private,37274, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,0,1
180,44, Local-gov,181344, Higher ed,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,1,0
181,43, Private,114580, Higher ed,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,0
182,30, Private,633742, Higher ed,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,0,0
183,40, Private,286370, HS,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,1,0
184,37, Federal-gov,29054, Higher ed,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,1,0
185,34, Private,304030, HS,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,0,0
186,41, Self-emp-not-inc,143129, Higher ed,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0,0
187,53, ?,135105, Higher ed,13, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States,0,0
188,31, Private,99928, Higher ed,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,0,0
189,58, State-gov,109567, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States,1,0
190,38, Private,155222, Higher ed,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,0,0
191,24, Private,159567, Higher ed,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0,0
192,41, Local-gov,523910, Higher ed,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0,0
193,47, Private,120939, Higher ed,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,0,0
194,41, Federal-gov,130760, Higher ed,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,0,0
195,23, Private,197387, HS,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,0,0
196,36, Private,99374, Higher ed,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,0
197,40, Federal-gov,56795, Higher ed,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States,1,1
198,35, Private,138992, Higher ed,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,1,1
199,24, Self-emp-not-inc,32921, HS,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0,0
200,26, Private,397317, Higher ed,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States,0,1
201,19, ?,170653, HS,9, Never-married, ?, Own-child, White, Male,0,0,40, Italy,0,0
202,51, Private,259323, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1,1
203,42, Local-gov,254817, Higher ed,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States,0,1
204,37, State-gov,48211, HS,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,0,0
205,18, Private,140164, HS,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0,0
206,36, Private,128757, Higher ed,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States,1,1
207,35, Private,36270, HS,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0,0
208,58, Self-emp-inc,210563, HS,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States,1,1
209,17, Private,65368, HS,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,0,0
210,44, Local-gov,160943, HS,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0,0
211,37, Private,208358, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,0
212,35, Private,153790, Higher ed,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0,0
213,60, Private,85815, HS,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0,0
214,54, Self-emp-inc,125417, HS,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1,0
215,37, Private,635913, Higher ed,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,1,0
216,50, Private,313321, Higher ed,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0,0
217,38, Private,182609, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,0,0
218,45, Private,109434, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,0,1
219,25, Private,255004, HS,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,0
220,31, Private,197860, Higher ed,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0,0
221,64, ?,187656, HS,2, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States,0,0
222,90, Private,51744, HS,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,0,1
223,54, Private,176681, HS,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,0,0
224,53, Local-gov,140359, HS,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,0,0
225,18, Private,243313, HS,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0,0
226,60, ?,24215, HS,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States,0,0
227,66, Self-emp-not-inc,167687, HS,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States,0,0
228,75, Private,314209, Higher ed,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,0,0
229,65, Private,176796, HS,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,0
230,35, Private,538583, HS,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States,0,0
231,41, Private,130408, HS,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,0,0
232,25, Private,159732, Higher ed,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,0,0
233,33, Private,110978, Higher ed,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,0,0
234,28, Private,76714, Higher ed,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,1,0
235,59, State-gov,268700, HS,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0,0
236,40, State-gov,170525, Higher ed,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,0,0
237,41, Private,180138, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran,1,1
238,38, Local-gov,115076, Higher ed,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1,1
239,23, Private,115458, HS,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0,0
240,40, Private,347890, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1,0
