LIMIT_BAL,sex,education,MARRIAGE,age,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
18,female,high school,1,34,0,0,0,-1,-1,-1,1.6386,1.5793,0.8441,0.7142,-0.0679,0.8321,0.85,0.15,0.75,0.0679,0.9,0.2,0
18,female,higher ed,1,34,0,0,0,0,0,0,17.5886,17.344,17.2308,16.8608,13.2202,12.9918,0.8083,0.7296,0.5253,0.4814,0.4816,0.38,0
20,female,higher ed,2,34,-1,3,2,2,2,2,0.1587,0.1098,0.0782,0.1166,0.07,0.1414,0,0,0.07,0,0.12,0,0
40,female,higher ed,1,29,0,0,0,0,0,0,40.0134,39.8857,40.4205,36.0199,35.6656,36.4089,1.7,1.5029,3,1.2,1.2,2.3,0
50,female,high school,1,28,0,0,0,0,0,0,2.2848,2.3638,1.8878,1.4937,1.3827,1.5571,0.1516,0.13,0.1,0.1,0.2,0.2,1
7,male,higher ed,1,39,0,0,0,0,0,-1,7.08,7.206,6.9938,1.6518,1.4096,0.083,0.4025,0.2095,0.1,0.2,0.3,0,0
5,male,higher ed,2,29,2,2,2,2,2,2,2.4987,2.43,2.6591,2.5865,2.7667,2.8264,0,0.27,0,0.2225,0.12,0,1
5,female,higher ed,1,46,0,0,0,-2,-2,-2,2.8718,2.9166,0,0,0,0,0.1,0,0,0,0,0,1
13,female,higher ed,1,51,-1,-1,-2,-2,-1,-1,0.0099,0,0,0,0.2353,0,0,0,0,0.2353,0,0,0
20,male,higher ed,1,57,-2,-2,-2,-1,2,2,15.2519,14.8751,14.4076,0.8174,0.8198,0.7918,0,0,0.8222,0.03,0,0.1,1
1,male,higher ed,1,56,2,2,2,0,0,0,0.2097,0.4193,0.3978,0.4062,0.4196,0.4326,0.23,0,0.015,0.02,0.02,0.016,1
21,female,higher ed,2,30,2,-1,-1,-1,-1,-1,0.03,0.03,0.1159,0.228,0.03,0.425,0.03,0.1159,0.228,0.03,0.425,0.0909,0
13,female,high school,2,29,1,-2,-2,-1,2,-1,-0.019,-0.985,-0.985,1.0311,1.0161,0.7319,0,0,2.0161,0,0.7319,1.3899,0
8,male,higher ed,2,31,-1,-1,-1,-1,-1,-1,0.078,0,0.039,0.039,0.039,0.039,0,0.039,0.039,0.039,0.039,0.039,0
32,male,higher ed,2,29,2,2,2,2,2,2,5.8267,5.9246,6.0184,5.8622,6.2307,6.3526,0.25,0.25,0,0.48,0.24,0.16,1
20,female,higher ed,1,32,-1,-1,-1,-1,2,-1,0.9076,0.5787,-0.0684,0.5247,0.3848,0.3151,0.5818,0.0015,0.9102,0.0017,0.3165,0.1395,0
29,female,higher ed,2,37,1,-2,-1,-1,-1,-1,0,0,0.3155,0,0.2359,0,0,0.3155,0,0.2359,0,0,0
34,male,higher ed,2,32,-1,-1,-1,-1,-1,-1,0.3048,0.555,2.3337,0.4291,8.0153,2.582,0.5713,2.3453,0.4314,8.0552,2.5949,0.2016,0
2,male,higher ed,2,24,0,0,2,0,0,0,1.4619,1.7216,1.6642,1.6976,1.7332,1.8543,0.285,0,0.061,0.063,0.15,0,0
5,male,high school,2,25,-1,0,0,0,0,0,4.2838,3.7225,3.6087,0.9636,0.959,1.003,0.1759,0.1779,0.032,0.05,0.1,0.1,0
30,female,higher ed,1,45,-1,-1,-1,-1,-1,-1,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0
3,female,higher ed,2,22,0,0,0,0,0,0,2.8387,2.9612,3.0326,2.8004,2.6446,0.6411,0.1686,0.14,0.056,0.3,0.1765,0,1
24,female,higher ed,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
47,female,high school,3,33,0,0,0,0,0,0,16.5254,15.7784,16.2702,6.9923,2.9271,2.9889,0.64,0.7566,0.3,0.096,0.1,0.3,0
36,female,higher ed,2,26,0,0,0,0,0,-1,2.3411,2.7796,3.04,3.31,18,0.0196,0.4796,0.34,0.31,14.69,0.0196,0.2963,0
6,male,high school,2,30,0,0,0,0,0,0,2.6324,2.7471,2.8108,2.1993,1.9899,1.9771,0.1576,0.1213,0.0648,0.0768,0.114,0,1
40,female,higher ed,1,44,0,0,2,0,0,0,13.1595,13.906,12.6819,10.443,10.499,9.4058,1.07,0.0003,0.305,0.3,0.32,0.28,0
5,female,high school,2,49,0,0,0,0,0,0,4.8909,4.7863,2.1489,2.0414,1.9342,1.9482,0.1676,0.1302,0.07,0.0699,0.0849,0.0826,0
16,male,higher ed,2,33,0,0,0,0,0,0,13.0028,10.7808,7.1934,11.8418,11.8407,12.0418,0.44,0.3547,8,0.45,0.48,0.45,0
36,female,higher ed,1,45,-1,-1,2,0,-1,-1,0.039,0.117,0.078,0.039,0.039,0.039,0.117,0,0,0.039,0.039,0.039,1
16,female,higher ed,2,32,0,0,0,0,0,-1,0.3826,0.4751,0.6604,0.8604,0.7072,0.0766,0.1147,0.2,0.2,0,0.0766,0.2303,0
13,female,higher ed,1,35,0,0,0,-1,-1,-1,8.1313,11.7866,1.774,0.133,0.7095,0.119,4,0.5,0.133,0.7095,0.119,0.209,0
2,male,high school,2,44,2,2,0,0,0,2,0.8583,0.8303,0.9651,1.0488,1.2314,1.197,0,0.1651,0.1,0.2,0,0.15,0
20,male,higher ed,1,53,2,2,2,2,2,2,13.818,14.0774,14.246,14.4098,14.7124,14.9531,0.63,0.55,0.55,0.55,0.5,0.5,1
28,female,higher ed,2,39,-1,-1,-1,0,0,-2,0.7524,0,0.3968,0.3868,0,0,0,0.3968,0,0,0,0,0
10,female,higher ed,2,27,-2,-2,-2,-2,-2,-2,-0.2,0.5555,0,0,0,0,0.7555,0,0,0,0,0,0
16,female,higher ed,1,37,-1,-1,-1,-1,-1,-2,0.088,0.1602,0.084,0.084,0,0,0.1602,0.084,0.084,0,0,0.7736,0
6,female,higher ed,2,23,0,0,0,0,0,0,4.5648,4.685,4.7214,1.9595,1.9209,1.9323,0.1937,0.1301,0.0682,0.069,0.0816,0.0835,0
9,male,higher ed,2,35,0,0,0,0,0,0,8.3725,8.5996,8.7653,3.5565,3.0942,3.0835,0.3621,0.3597,0.1179,0.1112,0.1104,0.1143,0
36,male,higher ed,1,43,-1,-1,-1,-1,-1,0,0.3967,0.8322,0.3394,0.6451,2.637,0.9956,0.8339,0.3394,1.2902,2.7,0,6.8978,0
15,male,higher ed,2,27,0,0,0,0,0,0,8.6009,8.6108,8.9006,8.9775,8.7725,4.0788,0.4031,1.0006,0.3266,0.404,0.1698,0.08,0
5,female,high school,1,22,0,0,0,0,0,0,1.8722,1.816,1.6997,1.315,0.8866,0.7899,0.1411,0.1194,0.0379,0.0281,0.0321,0.0197,0
2,male,higher ed,1,38,0,0,0,0,0,-1,1.7973,1.9367,1.9559,1.824,1.7928,0.015,0.1699,0.146,0.0626,0.175,0.015,0,1
14,male,higher ed,2,32,-2,-2,-2,-2,-2,-2,0.0672,1.0212,0.085,0.0415,0.01,0.143,1.0212,0.085,0.0415,0.01,0.143,0,0
38,female,higher ed,2,30,-2,-2,-1,0,0,0,-0.0081,-0.0303,3.2475,3.2891,3.3564,3.4056,0.0223,3.3178,0.1171,0.1197,0.125,0.5,0
48,male,higher ed,1,63,0,0,0,2,2,0,42.2069,43.1342,47.9432,48.7066,47.1145,46.9961,1.6078,5.5693,1.7,0,1.8,2.42,0
5,female,high school,2,22,0,0,0,0,0,0,4.4698,4.2254,3.8347,3.2496,2.3477,2.4094,0.1767,0.1362,0.1002,0.084,0.0995,0.0904,1
6,female,higher ed,2,26,2,2,2,2,2,0,5.6685,5.5208,5.9175,6.0218,5.5447,5.5305,0,0.5,0.2511,0.0006,0.3,0.3,0
7,female,higher ed,2,24,-1,-1,-2,-2,-2,-1,0.558,0,0,0,0,2.6529,0,0,0,0,2.6529,0.2,0
8,female,higher ed,1,36,-1,-1,-1,-1,-1,-1,0.6108,0.2861,0.3277,0.3319,0.115,0.115,0.2861,0.3279,0.3319,0.115,0.115,0.1035,0
35,male,higher ed,2,52,-1,-1,-1,-1,-1,-1,0.0713,0.2272,0.0722,0.0867,0.115,0.5263,0.2272,0.0722,0.0867,0.115,0.5263,0.5011,0
13,male,higher ed,2,38,0,0,0,-1,-1,-1,17.1438,17.8382,3.994,12.0483,4.4127,12.6568,1.0908,0,13.3657,0.4566,13.3841,0.4796,0
36,male,higher ed,1,35,1,-2,-2,-2,-2,-2,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,0,0,0,0,0,0,0
33,female,higher ed,1,31,0,0,2,0,0,0,10.5879,10.8431,10.5594,10.5896,10.6491,10.7289,0.926,0,0.3593,0.41,1.5794,0,0
5,male,high school,1,47,0,0,2,0,0,0,1.3244,1.4722,1.5181,1.5928,1.6671,1.7393,0.2,0.1,0.1,0.1,0.1,0.1,0
28,male,higher ed,1,41,2,2,2,2,2,3,13.5673,13.8532,13.4813,14.4401,15.2174,14.9415,0.65,0,1.4254,1.485,0,0.5,0
10,female,higher ed,2,24,0,0,0,0,0,0,5.2128,5.2692,5.4477,5.6076,6.01,5.9713,0.2,0.2677,0.3076,0.508,0.3,0.2033,0
5,male,higher ed,2,41,0,0,0,0,0,0,1.9015,1.9294,2.0259,2.0274,2.0311,1.9957,0.134,0.1305,0.07,0.0718,0.0724,0.0684,0
3,male,higher ed,2,24,-1,2,0,0,3,2,1.8199,1.7618,1.8631,2.1319,2.0692,2.1201,0,0.1312,0.3,0,0.1,0.1,1
24,male,higher ed,2,28,-1,-1,-1,-1,-1,-1,0.0326,0.0326,0.0326,0.5676,0.0476,0.0326,0.0326,0.0326,0.5676,0.0476,0.0326,0.0526,0
8,male,higher ed,2,26,2,0,0,0,0,0,1.4029,1.5493,1.663,1.7055,1.7629,1.8186,0.2,0.17,0.1,0.1,0.1,0.1,1
40,male,higher ed,1,34,-1,-1,-1,-1,-1,-1,1.966,0.9666,1.1867,0.7839,1.4837,0.7959,0.9677,1.1867,0.7839,1.4837,0.7959,0.5712,0
24,female,higher ed,2,38,0,0,0,0,-1,-1,5.0254,5.1445,5.3015,5.2479,0.1307,0.1203,0.2,0.3,0.3,0.1307,0.1203,0.0563,0
5,male,high school,2,37,2,2,2,3,2,2,4.6004,4.5976,4.8953,4.8851,4.9318,5.1143,0.1,0.4035,0.1,0.14,0.28,0,1
45,male,higher ed,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
11,female,higher ed,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
31,female,higher ed,1,35,2,0,0,0,0,0,30.4991,31.1243,30.6314,25.861,24.6491,19.8889,1.3019,1.1128,0.8407,0.8599,0.6833,0.5987,1
2,male,higher ed,2,27,0,0,0,0,0,0,1.9115,1.8962,1.9298,1.9378,1.9717,1.563,0.1404,0.113,0.06,0.0861,0.0313,0,0
2,male,higher ed,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,male,high school,2,52,0,0,0,0,0,0,11.0151,9.953,9.8951,10.0914,10.3146,10.4993,0.3568,0.3585,0.3602,0.3848,0.3669,0.3784,0
18,male,higher ed,1,36,0,0,0,0,0,0,16.3736,11.6422,9.9278,9.5766,9.7753,9.5927,0.4655,0.269,0.2067,0.2142,0.2217,0.1,1
5,male,higher ed,1,51,0,0,0,0,0,0,0.3347,0.3899,0.4503,0.5347,0.6375,0.7077,0.1,0.1066,0.13,0.15,0.12,0.0134,1
6,male,high school,1,55,3,2,2,0,0,0,6.0521,6.145,5.7244,2.8853,2.951,2.6547,0.2504,0.0007,0.12,0.12,0.11,0.15,0
3,female,higher ed,2,23,1,-2,-2,-2,-1,-1,0.4,0.5645,0.3508,-0.0027,1.3744,0.5906,0.5645,0.3508,0.0027,1.3771,0.5911,0.3024,0
24,male,higher ed,2,41,1,-1,-1,0,0,-1,0.0095,0.2622,0.3301,0.3164,0.036,0.1737,0.2622,0.3301,0,0.036,0.1737,0.0924,0
42,male,higher ed,1,34,0,0,0,0,0,0,25.3454,24.7743,22.9049,22.0951,21.0606,18.8108,0.9744,0.9553,0.7603,0.783,0.7253,1.1326,0
33,male,high school,1,46,0,0,0,0,0,0,22.7389,22.8719,22.9644,22.7587,22.7775,22.8203,0.821,0.8095,0.8025,0.8175,0.8391,0.82,0
3,female,higher ed,2,22,0,0,0,0,0,0,2.8452,2.6145,2.6712,2.535,1.7603,-0.078,0.2,0.14,0,0.05,0,0.156,0
24,male,higher ed,1,34,0,0,0,2,2,2,1.0674,1.2035,1.3681,1.3269,1.4158,1.3891,0.15,0.18,0,0.1,0,0.0327,0
15,male,higher ed,2,27,0,0,0,0,0,0,1.7444,1.9342,2.2,2.4614,2.72,3.0229,0.25,0.3,0.3,0.3,0.35,0.5,0
21,female,higher ed,1,33,0,0,0,0,0,0,0.7166,0.7997,0.8792,0.9189,0.4404,0.5708,0.15,0.15,0.1,0.05,0.2,0.0546,0
5,female,high school,1,51,-1,-1,-1,-1,-2,-2,0.0752,0.03,0.588,0,0,0,0.03,0.588,0,0,0,0,1
5,male,higher ed,2,24,0,0,0,0,0,0,5.0801,5.0143,4.9586,1.943,1.9375,1.8995,0.236,0.17,0.1,0.09,0.087,0.213,0
24,male,higher ed,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
18,male,higher ed,2,28,-1,-1,-1,-1,-1,-1,0.1832,0,0.0832,0.0332,0.0416,0.0416,0,0.0416,0.0332,0.05,0.35,0.0832,0
5,male,higher ed,2,23,1,2,2,2,0,0,1.0131,1.0833,2.0583,1.9996,1.9879,1.8065,0.1,1,0.04,0.07,0.08,0.06,0
17,male,higher ed,2,29,-2,-2,-2,-2,-2,-2,1.2159,1,1,1,0.9983,1.5846,1,1,1,0.9983,1.5863,1,0
2,male,higher ed,2,29,-1,-1,-1,-1,0,-1,0.1199,1.5586,0.0344,0.234,0.6702,0.0339,1.5586,0.0344,0.234,0.4702,0.0339,0.033,0
5,male,higher ed,2,28,0,0,0,0,0,3,0.4999,0.5913,0.7315,0.9195,1.0624,1.0138,0.1,0.15,0.2,0.1583,0.11,0,0
17,female,higher ed,2,27,0,0,0,0,0,0,1.9269,2.0313,2.0852,1.756,1.7918,0.91,0.1661,0.12,0.0351,0.0358,0.0182,0,1
20,male,higher ed,2,34,1,2,0,0,0,0,19.7236,17.6192,9.3069,13.5668,13.2233,5.9875,0.8,0.5,5.55,0.5,0.5,0.85,0
8,female,higher ed,1,23,1,2,3,2,0,0,0.9168,1.0522,1.0205,0.9898,1.0123,1.2034,0.165,0,0,0.0379,0.2091,0.0001,0
26,female,higher ed,1,60,1,-2,-1,-1,-1,-1,-0.11,-0.11,2.14,0,0.0969,0.0869,0,2.25,0,0.0969,0.1,0,0
14,male,higher ed,1,32,0,0,0,0,2,0,8.6627,7.8142,6.8336,6.4648,5.8319,5.5251,0.3455,0.311,0.5,0,0.21,0.2602,0
8,male,higher ed,2,25,0,0,0,0,0,0,4.2444,5.5744,4.3476,4.1087,4.1951,3.1826,3,0.3,0.6,0.8,0.2,1.4,0
35,male,higher ed,2,41,1,-1,-1,-1,-1,-2,0.0208,0.2906,0.1,0.063,0,0,0.2906,0.1,0.063,0,0,0,0
28,female,higher ed,1,56,0,0,0,0,0,0,20.8775,18.235,13.2257,10.1783,17.7145,16.9311,0.8042,0.67,0.5137,10,0.7,0.6321,0
3,female,high school,2,26,0,0,0,0,0,0,0.9014,1.0406,1.1427,1.1935,1.3084,1.4206,0.17,0.15,0.1,0.15,0.15,0.15,0
14,male,higher ed,1,34,0,0,0,0,0,0,2.3944,2.8049,3.2073,4.3129,4.7086,4.8699,0.5,0.5,1.1885,0.5,0.3,0.5504,0
20,female,higher ed,2,37,0,0,0,0,0,0,10.542,10.287,8.9643,9.0938,9.2505,9.4031,0.4,0.325,0.325,0.35,0.356,0.5,0
20,female,high school,2,30,0,0,0,0,0,0,19.6031,19.6143,18.9524,16.7163,14.6975,12.2324,0.73,0.7108,0.768,0.62,0.5,0.45,0
21,male,high school,1,45,2,3,4,4,5,6,11.5785,12.2904,12.9847,13.7277,14.5533,15.4105,1.0478,1.0478,1.1078,1.1078,1.1678,1.0478,1
5,male,high school,1,57,3,2,0,0,0,0,1.2854,1.2362,1.3447,1.3427,1.3711,1.4083,0,0.16,0.05,0.05,0.06,0.06,0
3,male,higher ed,2,41,2,2,2,2,2,0,2.4357,2.7453,2.6718,2.8168,2.7579,2.8321,0.35,0,0.22,0,0.12,0.125,0
5,male,higher ed,2,27,2,-1,-1,-1,-1,2,0.039,0.039,0.078,0.0216,0.108,0.054,0.039,0.078,0.0216,0.0864,0,0.039,0
29,male,high school,1,47,-1,-1,-1,-1,0,-1,0.1234,0.0396,0.0396,0.0792,0.0396,0.0423,0.0396,0.0396,0.0792,0,0.0423,0.0369,0
25,female,higher ed,1,34,0,0,2,0,0,0,14.1223,15.6858,15.1841,15.2803,15.5997,16.022,1.7994,0,0.5469,0.5656,0.6811,0.392,0
6,female,higher ed,1,46,0,0,0,0,0,0,2.1148,2.3803,2.4908,2.6034,2.6655,2.7756,0.3,0.15,0.15,0.1,0.15,0.15,0
11,female,higher ed,2,27,0,0,0,0,0,0,10.164,10.4795,10.4855,7.4737,7.6058,7.7254,0.55,0.39,0.3,0.29,0.3,0.28,0
37,male,higher ed,2,50,-2,-2,-2,-2,-2,-2,0.6093,1.513,0.8204,1.5398,0.4792,1.3453,1.5383,0.8204,1.5413,0.4792,1.3453,0.4699,0
10,male,higher ed,1,27,-1,2,2,0,0,0,10.2349,9.6847,5.8824,2.9336,2.2979,-0.0246,0.3166,0,0.133,0.1398,0.0012,5,0
9,female,higher ed,1,35,0,0,0,0,0,2,7.2112,7.3854,7.5526,7.7317,8.5852,8.829,0.35,0.35,0.3652,1,0.4,0,0
5,female,higher ed,2,22,0,0,0,0,0,0,2.804,2.9092,2.9366,2.7737,2.8318,2.8806,0.151,0.1442,0.0982,0.1017,0.1277,0.0567,0
27,male,higher ed,2,37,0,0,0,0,0,0,3.7695,3.3397,3.0534,2.7598,2.6344,2.4641,0.5,0.2,0.3,0.4,0.3,0.2,0
30,female,higher ed,2,30,-1,-1,-1,-1,-1,-1,0.0688,0.328,0,0.434,0.2672,0.08,0.3288,0,0.434,0.2672,0.08,0.0746,0
5,female,higher ed,2,22,-1,0,0,0,0,0,0.8567,1.5273,1.165,0.7457,0.3115,0.7725,1.5,0.1,0.0149,0,0.5,1,0
