,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,73, Private,247355, HS,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, Canada,0
32,23, Private,215616, HS,9, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Canada,0
33,67, Private,288371, HS,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Canada,1
34,36, Private,356838, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Canada,0
35,27, Private,181667, HS,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,46, Canada,0
36,29, Private,209301, Higher ed,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,0
37,33, State-gov,37070, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Canada,0
38,20, Private,22966, Higher ed,10, Never-married, Other-service, Own-child, White, Male,0,0,12, Canada,0
39,25, Private,34541, Higher ed,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,36, Canada,0
40,45, Private,168837, Higher ed,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,24, Canada,1
41,56, Private,231232, Higher ed,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30, Canada,0
42,29, Private,103111, HS,9, Never-married, Other-service, Own-child, White, Male,0,0,30, Canada,0
43,23, Private,185452, Higher ed,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Canada,0
44,58, Private,204021, HS,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Canada,0
45,30, Private,41493, Higher ed,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Canada,0
46,48, Private,355320, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Canada,1
47,64, Self-emp-inc,165667, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,60, Canada,1
48,46, Private,377401, HS,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,70, Canada,1
49,49, Private,176814, Higher ed,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Canada,0
50,54, Self-emp-inc,149650, HS,9, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Canada,0
51,73, Self-emp-inc,92886, HS,6, Widowed, Sales, Unmarried, White, Female,0,0,40, Canada,0
52,17, Private,365613, HS,6, Never-married, Other-service, Own-child, White, Male,0,0,10, Canada,0
53,52, Private,145409, Higher ed,10, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,60, Canada,1
54,38, Private,100295, HS,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,50, Canada,1
55,65, Private,149811, HS,9, Divorced, Adm-clerical, Unmarried, White, Female,0,2206,59, Canada,0
56,24, Private,353696, Higher ed,10, Never-married, Other-service, Own-child, White, Male,0,0,20, Canada,0
57,66, Private,298834, Higher ed,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Canada,0
58,33, Private,101345, HS,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,42, Canada,1
59,37, Local-gov,365430, Higher ed,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Canada,1
60,37, Local-gov,251396, Higher ed,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Canada,1
61,33, Private,191385, Higher ed,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Canada,0
62,53, Private,102615, HS,7, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Canada,0
63,36, Self-emp-not-inc,188972, Higher ed,16, Separated, Prof-specialty, Unmarried, White, Female,0,0,10, Canada,0
64,52, Private,99682, Higher ed,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,52, Canada,1
65,50, Self-emp-not-inc,127151, Higher ed,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Canada,1
66,37, Private,75024, HS,9, Divorced, Sales, Unmarried, White, Female,0,0,25, Canada,0
67,61, Private,168654, HS,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada,0
68,46, Local-gov,162566, Higher ed,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, Canada,0
69,72, Federal-gov,39110, HS,7, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,8, Canada,0
70,43, Private,106760, HS,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,50, Canada,1
71,44, Private,187584, HS,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Canada,0
72,62, Local-gov,33365, HS,9, Widowed, Other-service, Not-in-family, White, Female,0,0,40, Canada,0
73,40, Self-emp-not-inc,45093, HS,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, Canada,0
74,27, Private,34273, Higher ed,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,36, Canada,0
75,35, Private,167990, HS,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada,0
76,39, Private,230329, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Canada,1
77,51, Private,282744, Higher ed,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Canada,0
78,57, Private,171242, HS,7, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, Canada,0
79,40, Private,179666, Higher ed,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,30, Canada,0
80,18, Private,95917, HS,9, Never-married, Other-service, Own-child, White, Male,0,0,25, Canada,0
81,38, Federal-gov,37683, Higher ed,15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,99999,0,57, Canada,1
82,56, Self-emp-inc,187355, Higher ed,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,60, Canada,1
83,51, Self-emp-not-inc,268639, Higher ed,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,2057,60, Canada,0
84,41, Private,150755, Higher ed,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Canada,1
85,55, Private,98746, Higher ed,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Canada,1
86,68, Self-emp-not-inc,89011, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Canada,0
87,44, Private,232421, HS,9, Married-spouse-absent, Transport-moving, Not-in-family, Other, Male,0,0,32, Canada,0
88,56, Private,81220, Higher ed,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada,0
89,25, Private,190418, Higher ed,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Canada,0
90,29, Private,106179, Higher ed,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Canada,0
91,38, Local-gov,329980, HS,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1876,40, Canada,0
92,64, Self-emp-not-inc,192695, HS,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, Canada,0
93,53, Private,96827, Higher ed,13, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Canada,0
94,33, Private,192002, Higher ed,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, Canada,1
95,45, Private,99385, HS,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada,0
96,52, Private,186303, Higher ed,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,55, Canada,1
97,20, Private,107658, Higher ed,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,10, Canada,0
98,42, Private,190403, Higher ed,10, Separated, Exec-managerial, Not-in-family, White, Male,0,0,60, Canada,0
99,36, Private,152621, Higher ed,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,1
100,45, Private,102559, Higher ed,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,1
101,47, Private,156926, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Canada,1
102,28, Private,188064, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Canada,0
103,37, Self-emp-not-inc,204501, Higher ed,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, Canada,1
104,58, Private,187067, Higher ed,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,62, Canada,0
105,17, Private,82041, HS,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Canada,0
106,45, Private,98765, HS,9, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, Canada,0
107,45, Private,246891, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, Canada,1
108,38, Private,338320, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Canada,0
109,22, Private,305781, HS,9, Never-married, Sales, Not-in-family, White, Male,0,0,45, Canada,0
110,28, Private,251905, Higher ed,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,2339,40, Canada,0
111,26, Private,173593, Higher ed,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,20, Canada,0
112,34, Self-emp-not-inc,213887, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,32, Canada,1
113,50, Private,95435, HS,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1579,65, Canada,0
114,36, Private,179488, Higher ed,10, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Canada,0
115,24, State-gov,90046, Higher ed,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada,0
116,26, Local-gov,192213, Higher ed,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Canada,0
117,51, Private,82578, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, Canada,1
118,49, Self-emp-not-inc,192203, HS,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,0
119,23, Private,202989, HS,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Canada,0
120,25, Private,41526, Higher ed,13, Never-married, Craft-repair, Own-child, White, Male,0,0,30, Canada,0
121,24, Private,214542, Higher ed,10, Never-married, Craft-repair, Own-child, White, Male,0,0,60, Canada,0
122,40, Private,406811, HS,9, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, Canada,0
123,51, Private,305673, Higher ed,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada,1
124,32, Self-emp-inc,209691, Higher ed,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Canada,0
125,51, Self-emp-not-inc,160724, Higher ed,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,2415,40, China,1
126,31, Private,196025, Higher ed,16, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,60, China,0
127,44, Private,123983, Higher ed,13, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China,0
128,24, Private,67222, Higher ed,13, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,45, China,0
129,41, Private,233955, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, China,1
130,28, Private,162551, HS,4, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,48, China,0
131,35, Private,356250, Higher ed,15, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,35, China,0
132,36, Private,120760, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
133,53, Private,166386, Higher ed,13, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, China,0
134,32, Private,353994, Higher ed,13, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, China,1
135,37, Private,80638, Higher ed,13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,30, China,0
136,24, State-gov,123160, Higher ed,14, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,10, China,0
137,30, Private,315640, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1977,40, China,1
138,52, Private,310045, HS,5, Married-spouse-absent, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,30, China,0
139,43, Private,361280, HS,6, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,42, China,0
140,45, Self-emp-not-inc,285575, HS,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
141,64, Private,149044, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,2057,60, China,0
142,63, Self-emp-not-inc,35021, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1977,32, China,1
143,27, State-gov,315640, Higher ed,14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,20, China,0
144,48, Private,91251, HS,4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,30, China,0
145,30, State-gov,70617, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,10, China,0
146,54, State-gov,161334, Higher ed,14, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China,0
147,48, Private,162096, HS,5, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,45, China,0
148,33, Private,295649, HS,9, Separated, Other-service, Unmarried, White, Female,0,0,40, China,0
149,33, Private,143582, HS,9, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,48, China,0
150,56, State-gov,54260, Higher ed,16, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,2885,0,40, China,0
151,39, Private,149943, Higher ed,14, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China,0
152,56, Local-gov,305767, HS,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
153,50, Private,135643, HS,9, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,40, China,0
154,35, Private,67083, HS,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
155,49, Private,91251, HS,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
156,40, Private,73025, HS,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,30, China,0
157,32, Private,331539, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, China,1
158,34, Private,160261, HS,9, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,14084,0,35, China,1
159,40, State-gov,182460, Higher ed,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,38, China,1
160,34, Private,324654, HS,9, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, China,0
161,46, Private,138370, HS,4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,1651,40, China,0
162,40, Self-emp-inc,137367, Higher ed,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, China,0
163,36, Local-gov,130620, HS,9, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, China,1
164,25, Private,160261, Higher ed,10, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, China,0
165,48, Private,143098, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1902,40, China,1
166,52, Private,126978, HS,9, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, China,0
167,41, Private,173858, HS,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
168,43, Private,154210, HS,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,2829,0,60, China,0
169,61, Private,98350, HS,1, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China,0
170,34, State-gov,145874, Higher ed,16, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,20, China,0
171,30, Private,182771, Higher ed,13, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,15, China,0
172,39, Private,123983, Higher ed,13, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China,0
173,34, Private,88215, Higher ed,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, China,1
174,69, Private,230417, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, China,1
175,59, Private,98350, HS,9, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China,0
176,60, State-gov,69251, Higher ed,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,38, China,1
177,45, Self-emp-not-inc,160724, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, China,1
178,53, Self-emp-not-inc,135339, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7688,0,20, China,1
179,46, Private,98350, HS,6, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,37, China,0
180,57, State-gov,399246, Higher ed,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,1485,40, China,0
181,41, Private,173858, HS,4, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
182,64, Federal-gov,175534, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, China,1
183,54, Private,175262, HS,1, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
184,36, Private,297335, Higher ed,13, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, China,0
185,30, Private,110622, Higher ed,13, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China,0
186,40, Private,191342, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, China,1
187,45, Private,191098, Higher ed,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
188,45, Private,243631, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, China,1
189,45, Private,304570, Higher ed,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, China,1
190,31, Private,298871, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, China,0
191,29, Private,119359, HS,9, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,10, China,1
192,23, Local-gov,162551, Higher ed,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,35, China,0
193,75, Private,314209, Higher ed,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,0
194,26, Federal-gov,206983, Higher ed,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Columbia,0
195,49, Private,165134, Higher ed,11, Never-married, Exec-managerial, Unmarried, White, Female,0,0,35, Columbia,0
196,38, Private,203836, HS,9, Married-civ-spouse, Sales, Husband, White, Male,3464,0,40, Columbia,0
197,50, Private,116287, Higher ed,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, Columbia,0
198,53, Private,169182, HS,6, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Columbia,0
199,26, Private,61270, HS,9, Never-married, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Columbia,0
200,43, Private,350661, Higher ed,15, Separated, Tech-support, Not-in-family, White, Male,0,0,50, Columbia,1
201,29, Private,161444, HS,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia,0
202,64, State-gov,216160, Higher ed,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Columbia,1
203,26, Private,158333, HS,3, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Columbia,0
204,25, Private,167031, HS,6, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Columbia,0
205,23, Private,287681, HS,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Columbia,0
206,60, Private,160339, Higher ed,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia,0
207,49, Private,228583, HS,9, Divorced, Other-service, Unmarried, White, Male,0,0,40, Columbia,0
208,33, Private,119409, HS,9, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, Columbia,0
209,28, Private,155621, HS,3, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia,0
210,31, Self-emp-not-inc,229946, HS,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia,0
211,54, Private,257869, Higher ed,10, Separated, Other-service, Not-in-family, White, Male,0,0,28, Columbia,0
212,36, Private,181589, Higher ed,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,32, Columbia,0
213,31, Private,247444, Higher ed,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia,0
214,21, Private,162667, Higher ed,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Columbia,0
215,28, Self-emp-not-inc,155621, Higher ed,10, Never-married, Craft-repair, Own-child, White, Male,0,0,50, Columbia,0
216,32, Private,164507, HS,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Columbia,0
217,34, Private,188736, HS,9, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Female,0,0,20, Columbia,0
218,36, Private,162651, HS,9, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Columbia,0
219,18, Private,252993, HS,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Columbia,0
220,51, Private,228516, HS,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,45, Columbia,0
221,25, Private,190628, Higher ed,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia,0
222,41, Private,145220, HS,5, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, Columbia,0
223,23, Private,380281, Higher ed,12, Never-married, Other-service, Own-child, White, Male,0,0,25, Columbia,0
224,39, Private,89419, Higher ed,11, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Columbia,0
225,45, Federal-gov,235891, Higher ed,12, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Columbia,0
226,45, Private,216626, HS,9, Widowed, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Columbia,0
227,60, Self-emp-not-inc,264314, Higher ed,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Columbia,0
228,29, Private,264166, Higher ed,11, Divorced, Other-service, Unmarried, White, Female,0,0,45, Columbia,0
229,29, Private,161857, HS,9, Married-spouse-absent, Other-service, Not-in-family, Other, Female,0,0,40, Columbia,0
230,25, Private,95691, HS,9, Never-married, Other-service, Unmarried, White, Female,0,0,30, Columbia,0
231,39, Self-emp-not-inc,597843, Higher ed,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Columbia,0
232,62, Private,131117, HS,4, Divorced, Tech-support, Unmarried, White, Female,0,0,38, Columbia,0
233,21, Private,178255, Higher ed,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, Columbia,0
234,32, Private,202498, HS,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia,0
